# Title: This is the title
# X-Label: Time, s
# Y-Label: Three random profiles
# DataLabels: Time (s), C1, R1, K1
# GridOn: false
# LegendOn: true
 
Time (s),C1,R1,K1
   3.800000E+01,   9.255360E-01,   1.858179E-01,   9.919395E-01
   3.900000E+01,   3.749838E-01,   7.728925E-01,   8.556477E-01
   4.000000E+01,   1.911964E-01,   7.749684E-01,   2.451167E-01
   4.100000E+01,   2.376075E-02,   3.044579E-01,   1.758722E-01
   4.200000E+01,   2.263793E-01,   9.122200E-01,   3.917569E-01
   4.300000E+01,   5.135378E-01,   4.389822E-01,   6.368077E-01
   4.400000E+01,   4.427515E-01,   7.482167E-01,   1.935514E-01
   4.500000E+01,   8.031957E-01,   7.557067E-01,   7.246334E-01
   4.600000E+01,   6.406507E-01,   4.100442E-01,   3.942262E-01
   4.700000E+01,   5.918847E-01,   1.661909E-01,   4.413999E-01
   4.800000E+01,   4.729246E-01,   7.030209E-01,   2.830611E-01
   4.900000E+01,   6.714239E-01,   4.293222E-01,   8.342605E-01
   5.000000E+01,   2.907880E-01,   3.661394E-01,   2.403675E-01
   5.100000E+01,   8.032750E-01,   7.321724E-01,   7.129373E-01
   5.200000E+01,   7.339895E-01,   5.933449E-01,   7.720709E-01
   5.300000E+01,   4.092499E-01,   6.814165E-01,   8.557661E-01
   5.400000E+01,   8.702518E-01,   1.393319E-02,   1.183587E-01
   5.500000E+01,   2.763561E-01,   1.583489E-01,   3.970337E-01
   5.600000E+01,   7.178758E-01,   3.830621E-01,   3.423438E-01
   5.700000E+01,   2.436031E-01,   2.527760E-01,   2.944731E-01
   5.800000E+01,   5.092319E-01,   7.698139E-01,   1.213893E-04
   5.900000E+01,   2.849097E-01,   3.275747E-01,   9.721251E-01
   6.000000E+01,   9.935500E-01,   2.346095E-02,   1.813086E-01
   6.100000E+01,   5.160344E-01,   8.358182E-01,   6.418555E-01
   6.200000E+01,   1.361591E-01,   7.808895E-01,   6.132837E-01
   6.300000E+01,   3.135948E-01,   1.309344E-01,   8.282138E-01
   6.400000E+01,   8.501673E-01,   4.216170E-02,   9.490648E-01
   6.500000E+01,   1.905845E-01,   6.424282E-01,   7.769621E-01
   6.600000E+01,   2.225394E-01,   8.795512E-02,   2.920160E-01
   6.700000E+01,   7.534468E-01,   3.645057E-01,   5.965876E-01
   6.800000E+01,   6.945086E-01,   9.400383E-01,   1.011465E-01
   6.900000E+01,   2.317229E-01,   6.852227E-01,   4.107686E-01
   7.000000E+01,   8.495149E-01,   5.700199E-01,   4.041092E-01
   7.100000E+01,   3.630518E-01,   3.575583E-01,   6.756399E-01
   7.200000E+01,   2.754234E-01,   3.004198E-01,   9.426183E-01
   7.300000E+01,   9.078164E-01,   4.272719E-01,   1.287735E-01
   7.400000E+01,   8.324631E-01,   5.927274E-01,   3.976683E-01
   7.500000E+01,   5.339290E-01,   3.518489E-01,   4.587658E-01
   7.600000E+01,   1.179974E-01,   3.864553E-01,   3.785285E-01
   7.700000E+01,   2.033297E-01,   4.971144E-01,   7.131034E-01
   7.800000E+01,   7.082723E-01,   2.379257E-02,   4.285099E-01
   7.900000E+01,   8.494021E-02,   2.915460E-01,   4.861520E-01
   8.000000E+01,   4.698678E-01,   3.880426E-01,   5.206723E-01
   8.100000E+01,   4.054840E-01,   5.608821E-01,   5.490536E-01
   8.200000E+01,   6.711737E-01,   8.373559E-01,   8.760500E-01
   8.300000E+01,   5.344528E-01,   7.935434E-01,   8.209107E-01
   8.400000E+01,   8.631468E-01,   2.071319E-01,   2.208788E-01
   8.500000E+01,   2.919260E-01,   7.586937E-01,   2.680229E-01
   8.600000E+01,   3.220778E-01,   8.125652E-01,   8.812246E-01
   8.700000E+01,   9.638680E-01,   3.505256E-02,   4.520121E-01
   8.800000E+01,   8.884616E-01,   3.298167E-01,   5.699279E-01
   8.900000E+01,   4.607637E-01,   7.138499E-01,   9.934263E-01
   9.000000E+01,   6.655037E-01,   3.782682E-01,   8.517331E-02
   9.100000E+01,   5.513333E-01,   7.082994E-01,   8.875534E-01
   9.200000E+01,   3.346507E-01,   9.159478E-01,   4.246133E-01
   9.300000E+01,   7.792684E-01,   6.360879E-01,   2.943444E-01
   9.400000E+01,   2.099040E-01,   2.272937E-01,   5.930631E-02
   9.500000E+01,   3.919331E-01,   7.564055E-01,   2.274365E-02
   9.600000E+01,   4.381794E-01,   7.582895E-02,   5.231235E-01
   9.700000E+01,   4.567779E-01,   2.070155E-01,   6.060517E-01
   9.800000E+01,   6.844343E-01,   4.201845E-01,   6.658387E-01
   9.900000E+01,   7.782453E-01,   2.751556E-01,   1.583824E-01
   1.000000E+02,   1.266408E-01,   1.535010E-01,   5.024294E-01
