# Title: This is the title
# X-Label: Time, s
# Y-Label: Three random profiles
# DataLabels: Time (s), C1, R1, K1
# GridOn: false
# LegendOn: true
 
Time (s),C1,R1,K1
   3.500000E+01,   6.728765E-01,   5.675613E-01,   7.364215E-01
   3.600000E+01,   5.597809E-01,   5.636962E-01,   5.565584E-02
   3.700000E+01,   5.914996E-01,   5.877242E-01,   6.826225E-01
   3.800000E+01,   2.128484E-01,   1.187660E-01,   2.067737E-01
   3.900000E+01,   4.650110E-01,   8.887515E-01,   4.913631E-01
   4.000000E+01,   4.804637E-01,   5.761188E-01,   9.269813E-01
   4.100000E+01,   3.525376E-01,   7.588339E-01,   2.660655E-01
   4.200000E+01,   7.147578E-01,   1.178322E-01,   8.056228E-01
   4.300000E+01,   5.528545E-01,   6.095571E-01,   7.488325E-01
   4.400000E+01,   8.751511E-01,   8.327831E-01,   8.595671E-01
   4.500000E+01,   7.210661E-01,   3.597753E-02,   1.052741E-01
   4.600000E+01,   4.185527E-01,   4.011121E-01,   6.607075E-01
   4.700000E+01,   2.955509E-01,   6.732921E-01,   3.980664E-01
   4.800000E+01,   5.255184E-01,   2.453438E-01,   5.041201E-01
   4.900000E+01,   7.775655E-01,   4.951980E-01,   6.644451E-01
   5.000000E+01,   2.009474E-01,   5.199264E-01,   2.636325E-01
   5.100000E+01,   3.543064E-01,   5.986353E-01,   7.024547E-02
   5.200000E+01,   2.842356E-01,   7.593497E-02,   6.257283E-01
   5.300000E+01,   7.112489E-01,   9.090603E-01,   7.082587E-01
   5.400000E+01,   1.877794E-01,   6.586347E-02,   2.393595E-01
   5.500000E+01,   5.406784E-02,   1.285809E-01,   9.165214E-01
   5.600000E+01,   5.632603E-01,   1.098854E-01,   7.897228E-01
   5.700000E+01,   6.446476E-01,   2.202327E-01,   4.816599E-01
   5.800000E+01,   4.799770E-01,   2.448831E-01,   5.523156E-01
   5.900000E+01,   1.268878E-01,   7.896220E-01,   3.733802E-01
   6.000000E+01,   1.033954E-01,   3.748530E-01,   3.656645E-01
   6.100000E+01,   4.016581E-02,   8.514644E-01,   8.506736E-01
   6.200000E+01,   5.259996E-01,   5.906734E-01,   5.048638E-02
   6.300000E+01,   6.904233E-01,   3.551288E-01,   1.560686E-02
   6.400000E+01,   6.899073E-01,   6.700090E-01,   3.655507E-01
   6.500000E+01,   2.023669E-01,   7.795378E-01,   4.766881E-01
   6.600000E+01,   5.907541E-01,   4.267962E-01,   7.845476E-02
   6.700000E+01,   8.314828E-01,   9.684646E-01,   9.051337E-01
   6.800000E+01,   8.928357E-01,   9.849256E-02,   7.360914E-01
   6.900000E+01,   7.508254E-02,   7.979063E-01,   7.009122E-01
   7.000000E+01,   6.922285E-01,   3.503428E-01,   4.085112E-01
   7.100000E+01,   8.719572E-01,   9.785459E-01,   1.407241E-01
   7.200000E+01,   5.627134E-01,   7.955000E-01,   8.898865E-01
   7.300000E+01,   3.088483E-01,   8.987922E-02,   9.756701E-01
   7.400000E+01,   2.800132E-01,   1.769185E-01,   1.849185E-01
   7.500000E+01,   5.570201E-01,   3.921042E-01,   5.415545E-01
   7.600000E+01,   1.529310E-01,   2.610946E-01,   5.987459E-01
   7.700000E+01,   1.534632E-01,   6.244187E-01,   8.803049E-01
   7.800000E+01,   6.616534E-01,   9.215678E-01,   8.371065E-01
   7.900000E+01,   8.199745E-01,   7.008485E-01,   7.539833E-01
   8.000000E+01,   7.962821E-01,   2.265597E-01,   3.183691E-01
   8.100000E+01,   7.565247E-01,   5.583248E-01,   8.609438E-01
   8.200000E+01,   1.608885E-01,   8.866042E-01,   7.669892E-02
   8.300000E+01,   1.292619E-01,   7.314752E-01,   1.660208E-01
   8.400000E+01,   4.263555E-02,   6.064213E-01,   6.412428E-01
   8.500000E+01,   2.963652E-01,   4.106070E-01,   3.962293E-01
   8.600000E+01,   5.726806E-01,   7.983780E-01,   3.071285E-01
   8.700000E+01,   9.814555E-01,   1.941825E-01,   1.235591E-02
   8.800000E+01,   6.629390E-01,   2.048519E-01,   3.934824E-01
   8.900000E+01,   6.829945E-01,   9.077530E-02,   6.099292E-01
   9.000000E+01,   2.301877E-02,   4.496198E-01,   7.132352E-01
   9.100000E+01,   2.349894E-01,   7.928549E-01,   9.684946E-01
   9.200000E+01,   7.594962E-01,   5.631279E-01,   7.689450E-01
   9.300000E+01,   4.369906E-01,   7.810926E-01,   4.932163E-01
   9.400000E+01,   8.378533E-01,   9.109760E-01,   5.654103E-01
   9.500000E+01,   1.324761E-02,   9.109098E-01,   2.364339E-01
   9.600000E+01,   2.373561E-01,   8.510320E-01,   4.596946E-01
   9.700000E+01,   3.262869E-01,   9.186099E-02,   5.806106E-01
   9.800000E+01,   7.692288E-01,   7.460417E-01,   7.618856E-01
   9.900000E+01,   7.999812E-01,   6.689813E-01,   3.621212E-01
   1.000000E+02,   2.564805E-01,   8.485103E-02,   9.944829E-01
